回测开始
===========================================
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma20, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma10, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma45, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma5, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.65, 均线: ma60, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma20, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma30, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma10, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma45, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.25, 止损率: 0.6, 均线: ma60, 盈利: 281.00, 收益率: 0.28%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma10, 盈利: 1394.00, 收益率: 1.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma5, 盈利: 1394.00, 收益率: 1.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma20, 盈利: 1394.00, 收益率: 1.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma30, 盈利: 1394.00, 收益率: 1.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma45, 盈利: 1394.00, 收益率: 1.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.9, 均线: ma60, 盈利: 1394.00, 收益率: 1.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma5, 盈利: 772.00, 收益率: 0.77%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma10, 盈利: 772.00, 收益率: 0.77%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma20, 盈利: 772.00, 收益率: 0.77%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma60, 盈利: 772.00, 收益率: 0.77%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma45, 盈利: 772.00, 收益率: 0.77%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.85, 均线: ma30, 盈利: 772.00, 收益率: 0.77%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma5, 盈利: 636.00, 收益率: 0.64%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma10, 盈利: 636.00, 收益率: 0.64%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma20, 盈利: 636.00, 收益率: 0.64%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma45, 盈利: 636.00, 收益率: 0.64%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma60, 盈利: 636.00, 收益率: 0.64%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.8, 均线: ma30, 盈利: 636.00, 收益率: 0.64%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma5, 盈利: 496.00, 收益率: 0.50%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma10, 盈利: 496.00, 收益率: 0.50%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma20, 盈利: 496.00, 收益率: 0.50%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma30, 盈利: 496.00, 收益率: 0.50%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma45, 盈利: 496.00, 收益率: 0.50%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.75, 均线: ma60, 盈利: 496.00, 收益率: 0.50%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma5, 盈利: 526.00, 收益率: 0.53%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma10, 盈利: 526.00, 收益率: 0.53%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma20, 盈利: 526.00, 收益率: 0.53%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma30, 盈利: 526.00, 收益率: 0.53%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma45, 盈利: 526.00, 收益率: 0.53%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.7, 均线: ma60, 盈利: 526.00, 收益率: 0.53%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma5, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma10, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma20, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma30, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma60, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma10, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma5, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma30, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.65, 均线: ma45, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma20, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma60, 盈利: 386.00, 收益率: 0.39%
板块: 西藏板块, 止盈率: 1.3, 止损率: 0.6, 均线: ma45, 盈利: 386.00, 收益率: 0.39%
